                                           BẢNG ĐIỂM SINH VIÊN                                           
---------------------------------------------------------------------------------------------------------
Mã SV             Họ tên    Điểm chuyên cần   Điểm kiểm tra      Điểm thi   Điểm tổng kết       Xếp loại
---------------------------------------------------------------------------------------------------------
SV001      Nguyen Van An               1.00            8.00          8.50            7.60            Khá
SV002      Tran Thi Binh               9.00            9.00          9.50            9.30           Giỏi
SV003         Le Van Chi               4.50            4.50          4.00            4.20            Yếu
SV004      Pham Thi Dung               6.00            6.00          5.50            5.70     Trung bình
SV005       Hoang Van Em               9.50            9.50          9.00            9.20           Giỏi
SV006      Vo Thi Phuong               3.00            3.00          3.50            3.30            Yếu
SV007     Dang Van Giang               7.00            7.00          7.00            7.00            Khá
SV008        Bui Thi Hoa               5.50            5.50          6.00            5.80     Trung bình
SV009          Ngo Van Y               8.50            8.50          8.50            8.50           Giỏi
SV010         Do Thi Kim               6.50            6.50          6.50            6.50     Trung bình
