ma,ho_ten,luong_ngay,so_ngay_cong,phu_cap
CN01,Nguyen Van A,300000,26,1000000
CN02,Tran Thi B,250000,20,0
CN03,Le Van C,350000,28,1500000
CN04,Pham Thi D,280000,0,800000
CN05,Hoang Van E,320000,24,1200000
CN06,Vo Thi F,300000,26,500000
CN07,Dang Van G,400000,27,1500000
CN08,Bui Thi H,270000,22,900000
CN09,Ngo Van I,350000,25,1500000
CN10,Do Thi K,310000,26,0
CN11,Ly Van L,400000,28,1600000
CN12,Truong Thi M,290000,23,700000
CN13,Phan Van N,330000,26,1100000
CN14,Vu Thi O,260000,18,600000
CN15,Duong Van P,400000,28,1700000
