ma,ho_ten,luong_ngay,so_ngay_cong,phu_cap,luong_co_ban,tong_thu_nhap
CN15,Duong Van P,400000,28,1700000,11200000,12900000
CN11,Ly Van L,400000,28,1600000,11200000,12800000
CN07,Dang Van G,400000,27,1500000,10800000,12300000
CN03,Le Van C,350000,28,1500000,9800000,11300000
CN09,Ngo Van I,350000,25,1500000,8750000,10250000
CN13,Phan Van N,330000,26,1100000,8580000,9680000
CN05,Hoang Van E,320000,24,1200000,7680000,8880000
CN01,Nguyen Van A,300000,26,1200000,7800000,9000000
CN06,Vo Thi F,300000,26,500000,7800000,8300000
CN10,Do Thi K,310000,26,0,8060000,8060000
CN12,Truong Thi M,290000,23,700000,6670000,7370000
CN08,Bui Thi H,270000,22,900000,5940000,6840000
CN14,Vu Thi O,260000,18,600000,4680000,5280000
CN04,Pham Thi D,280000,0,800000,0,800000
